Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,CH[4],CO[2],N[2]*O
1880,-0.17,-0.29,-0.04,-0.37,-0.12,-0.02,-0.8,-0.48,-0.29,-0.16,-0.09,-0.04,0.05,0.66,109.839825798234,7897.38313333334,1.846730013569403
1881,-0.08,-0.18,0.01,-0.35,0.11,-0.07,-0.91,-0.43,-0.21,0.09,0.12,-0.05,-0.07,0.58,111.086810200912,7947.90770466666,1.867070365896361
1882,-0.11,-0.22,-0.01,-0.31,-0.04,0.01,-1.41,-0.26,-0.17,-0.06,-0.03,0.01,0.04,0.61,112.358352871944,8171.126698,1.884568742916042
1883,-0.17,-0.29,-0.06,-0.35,-0.16,-0.01,-0.19,-0.54,-0.28,-0.18,-0.14,-0.04,0.07,0.49,113.74201563897,8411.15130133334,1.89979657093672
1884,-0.28,-0.43,-0.14,-0.6,-0.14,-0.14,-1.3,-0.62,-0.48,-0.13,-0.15,-0.19,-0.02,0.64,114.61128192228199,8472.98179266666,1.9133252679676471
1885,-0.33,-0.43,-0.24,-0.65,-0.13,-0.27,-1.5,-0.66,-0.47,-0.07,-0.18,-0.34,-0.15,0.81,115.47197277288,8495.95126533334,1.925726346231734
1886,-0.31,-0.43,-0.19,-0.57,-0.19,-0.21,-1.58,-0.49,-0.41,-0.21,-0.17,-0.2,-0.2,0.58,116.41594147910399,8583.88731866666,1.937571147855134
1887,-0.36,-0.44,-0.28,-0.53,-0.29,-0.28,-1.76,-0.5,-0.31,-0.3,-0.29,-0.28,-0.26,0.31,117.723752059886,8792.915669333339,1.949431195814122
1888,-0.17,-0.23,-0.11,-0.42,0.11,-0.29,-1.29,-0.42,-0.26,0.07,0.15,-0.31,-0.23,0.15,119.477366088868,9021.073602,1.9618778911747459
1889,-0.1,-0.17,-0.03,-0.29,0.09,-0.16,-0.67,-0.21,-0.28,0.02,0.16,-0.15,-0.15,0.44,120.367812485262,9062.63155,1.975482704537702
1890,-0.35,-0.38,-0.32,-0.45,-0.36,-0.23,-1.14,-0.55,-0.27,-0.27,-0.46,-0.18,-0.27,0.14,122.19031735077999,9518.615464,2.055650347642295
1891,-0.22,-0.26,-0.19,-0.43,-0.07,-0.22,-1.12,-0.34,-0.37,0.0,-0.15,-0.18,-0.24,-0.17,123.532473879764,9831.57484266666,2.077788454462982
1892,-0.27,-0.4,-0.15,-0.44,-0.29,-0.08,-1.13,-0.65,-0.18,-0.34,-0.25,0.02,-0.21,0.08,124.462523755332,9925.756828000001,2.101153991122504
1893,-0.31,-0.47,-0.15,-0.51,-0.36,-0.05,-0.65,-0.55,-0.48,-0.42,-0.29,0.07,-0.2,-0.05,125.02484020555,10028.913176666661,2.125428180989077
1894,-0.3,-0.38,-0.21,-0.32,-0.33,-0.24,-0.9,-0.32,-0.19,-0.48,-0.17,-0.15,-0.35,-0.39,126.407935141412,10193.810803333341,2.150292203672743
1895,-0.22,-0.3,-0.15,-0.4,-0.07,-0.26,-0.63,-0.52,-0.28,-0.14,0.01,-0.2,-0.32,-0.59,128.020503368298,10443.602906,2.175427027152221
1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.82,-0.36,-0.23,0.05,0.16,-0.16,-0.13,0.24,129.209749363232,10607.12106333334,2.200513980963383
1897,-0.11,-0.16,-0.05,-0.35,0.17,-0.24,-0.5,-0.46,-0.25,0.13,0.22,-0.2,-0.27,0.39,130.715823961394,10828.02972466666,2.225234101794016
1898,-0.27,-0.29,-0.26,-0.35,-0.22,-0.27,-1.13,-0.24,-0.24,-0.19,-0.25,-0.28,-0.21,0.37,132.30258931692,11066.89540333334,2.2492687769798447
1899,-0.17,-0.21,-0.14,-0.24,-0.11,-0.19,-1.0,-0.09,-0.15,-0.16,-0.07,-0.16,-0.22,0.57,134.48530177369,11463.75574133334,2.272299008966104
1900,-0.08,-0.09,-0.06,-0.2,0.18,-0.3,-0.52,-0.15,-0.15,0.09,0.27,-0.29,-0.29,0.26,136.33153558942,11895.29766266666,2.294006028618959
1901,-0.15,-0.12,-0.18,-0.16,-0.03,-0.31,-0.36,-0.1,-0.15,-0.06,0.0,-0.28,-0.34,0.25,137.801228491868,12123.91853666666,2.317134664792717
1902,-0.27,-0.32,-0.22,-0.51,-0.03,-0.35,-1.28,-0.49,-0.32,-0.03,-0.04,-0.28,-0.43,-0.06,139.062679162928,12356.761052000002,2.3440851492911223
1903,-0.37,-0.37,-0.36,-0.45,-0.28,-0.39,-0.17,-0.41,-0.56,-0.24,-0.32,-0.36,-0.4,-0.5,141.488276313614,12755.121052,2.374021724505659
1904,-0.47,-0.48,-0.46,-0.5,-0.46,-0.44,-0.12,-0.59,-0.55,-0.44,-0.48,-0.38,-0.49,-1.33,142.613456849968,12931.554216,2.406108400647658
1905,-0.26,-0.29,-0.22,-0.4,-0.08,-0.36,-0.02,-0.22,-0.63,-0.12,-0.04,-0.33,-0.37,-0.34,144.427888240156,13297.96020933334,2.4395092744391818
1906,-0.22,-0.24,-0.21,-0.25,-0.19,-0.24,-0.24,-0.06,-0.4,-0.22,-0.16,-0.21,-0.22,-0.72,146.69491252636402,13543.40925066666,2.473388500749382
1907,-0.38,-0.47,-0.29,-0.58,-0.3,-0.29,-0.53,-0.71,-0.52,-0.31,-0.29,-0.21,-0.37,-1.21,150.209391998254,14325.961082666661,2.506910011935923
1908,-0.43,-0.46,-0.4,-0.48,-0.44,-0.36,-0.19,-0.54,-0.52,-0.43,-0.44,-0.29,-0.48,0.67,150.297975670348,14165.797958666659,2.539238032340064
1909,-0.48,-0.5,-0.47,-0.53,-0.48,-0.44,-0.71,-0.62,-0.45,-0.45,-0.51,-0.38,-0.52,-0.58,152.353217120624,14445.14811866666,2.5695366120329592
1910,-0.43,-0.44,-0.43,-0.41,-0.48,-0.38,-0.53,-0.24,-0.5,-0.48,-0.48,-0.33,-0.45,0.15,154.319707948038,14692.182639999999,2.5969698065794393
1911,-0.44,-0.42,-0.45,-0.42,-0.42,-0.48,-0.23,-0.42,-0.47,-0.43,-0.41,-0.44,-0.53,0.04,155.907933957662,14765.50778733334,2.627997257516115
1912,-0.36,-0.46,-0.24,-0.59,-0.18,-0.37,-0.47,-0.79,-0.51,-0.27,-0.08,-0.37,-0.29,-1.64,157.659041668732,14952.84588933334,2.6682985683366978
1913,-0.34,-0.42,-0.26,-0.44,-0.27,-0.35,-0.46,-0.33,-0.51,-0.39,-0.14,-0.29,-0.4,-1.05,160.608687990504,15463.46699666666,2.715869720541578
1914,-0.15,-0.19,-0.1,-0.24,-0.06,-0.18,-0.32,-0.16,-0.29,-0.11,0.0,-0.16,-0.18,-0.37,158.972444348158,14801.900526000001,2.768700125743601
1915,-0.14,-0.14,-0.13,-0.23,-0.01,-0.22,-0.56,-0.17,-0.19,-0.02,0.0,-0.15,-0.23,-1.99,159.744274465556,14621.723664,2.824790142980657
1916,-0.36,-0.42,-0.3,-0.37,-0.45,-0.23,-0.41,-0.54,-0.25,-0.5,-0.39,-0.23,-0.17,-1.06,162.711159688078,15015.65411,2.882132014140942
1917,-0.46,-0.58,-0.36,-0.5,-0.63,-0.19,-0.78,-0.5,-0.44,-0.69,-0.57,-0.23,-0.09,0.05,164.95267421059,15324.474412,2.938720235325435
1918,-0.29,-0.4,-0.2,-0.41,-0.33,-0.14,-0.98,-0.27,-0.35,-0.38,-0.27,-0.06,-0.23,-0.29,164.510368378478,15269.397492,2.9925493105811656
1919,-0.28,-0.35,-0.2,-0.44,-0.19,-0.23,-0.68,-0.56,-0.31,-0.23,-0.16,-0.15,-0.32,0.19,162.507995449256,14287.40398466666,3.0416152798929588
1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.33,0.02,-0.2,-0.35,-0.37,-0.12,-0.19,-0.48,-1.15,167.009571479478,15541.640042666659,3.083909977988797
1921,-0.19,-0.11,-0.26,0.02,-0.25,-0.31,0.04,0.17,-0.09,-0.29,-0.2,-0.23,-0.38,-0.85,164.207836986028,14896.439407333339,3.124060056157856
1922,-0.28,-0.27,-0.29,-0.24,-0.31,-0.28,-0.27,-0.4,-0.14,-0.32,-0.31,-0.25,-0.29,-0.29,167.67099213680598,15308.84463333334,3.1672076268928953
1923,-0.26,-0.22,-0.31,-0.15,-0.29,-0.34,0.21,-0.15,-0.26,-0.32,-0.26,-0.27,-0.41,-0.55,173.143886199652,16204.16815733334,3.2121183572334218
1924,-0.27,-0.18,-0.35,-0.13,-0.25,-0.44,0.49,-0.25,-0.23,-0.26,-0.24,-0.4,-0.45,-0.54,175.150466277944,16284.475432,3.257559653782378
1925,-0.22,-0.14,-0.3,-0.04,-0.23,-0.38,-0.05,0.18,-0.19,-0.28,-0.19,-0.25,-0.55,-0.87,176.825110661826,16475.40003666666,3.3022989543525814
1926,-0.11,0.02,-0.21,0.03,0.02,-0.41,0.59,0.16,-0.22,0.01,0.03,-0.35,-0.45,-0.64,177.47163854708,16317.927918,3.345102632481561
1927,-0.22,-0.13,-0.29,-0.13,-0.15,-0.39,0.05,-0.22,-0.13,-0.14,-0.17,-0.31,-0.45,-1.39,182.520504184466,17011.524436666663,3.384738754218756
1928,-0.2,-0.1,-0.29,-0.07,-0.14,-0.4,0.73,-0.17,-0.23,-0.14,-0.15,-0.29,-0.48,-2.13,183.74933500436,17011.29640266666,3.4199736126497378
1929,-0.36,-0.33,-0.38,-0.38,-0.27,-0.46,0.16,-0.62,-0.38,-0.27,-0.27,-0.43,-0.44,-1.09,187.799146549732,17604.09272133334,3.4495746205293134
1930,-0.15,-0.01,-0.29,0.04,-0.1,-0.42,0.55,0.04,-0.11,-0.09,-0.11,-0.33,-0.47,-2.6,188.06841802616,16985.37001466666,3.472307483086403
1931,-0.09,0.05,-0.21,0.01,0.09,-0.43,0.58,-0.04,-0.14,0.11,0.07,-0.42,-0.4,-0.42,187.232149526244,16274.281371333342,3.490758532503238
1932,-0.15,-0.05,-0.25,0.04,-0.15,-0.35,0.5,0.19,-0.21,-0.18,-0.12,-0.21,-0.53,-1.0,187.090896216686,15688.56281066666,3.508795206841995
1933,-0.28,-0.25,-0.31,-0.24,-0.27,-0.34,-0.15,-0.47,-0.12,-0.28,-0.27,-0.22,-0.48,-1.16,190.171750219878,16075.628175999998,3.5271076355571243
1934,-0.12,0.0,-0.25,0.18,-0.24,-0.26,0.89,0.31,-0.13,-0.25,-0.23,-0.15,-0.38,-0.58,194.743110213338,16729.380208,3.54638619318004
1935,-0.2,-0.09,-0.29,-0.04,-0.17,-0.38,0.36,-0.05,-0.16,-0.16,-0.19,-0.3,-0.42,-1.72,198.286939638166,17091.08644266666,3.567320367279656
1936,-0.14,-0.03,-0.25,-0.02,-0.12,-0.3,0.41,0.1,-0.25,-0.04,-0.19,-0.27,-0.33,-0.04,203.788963746512,17893.328032666657,3.590599819363524
1937,-0.03,0.12,-0.17,0.2,-0.05,-0.22,1.25,0.03,-0.03,0.01,-0.1,-0.19,-0.26,0.35,208.208654027608,18478.01139133334,3.616915523629986
1938,0.0,0.16,-0.17,0.39,-0.22,-0.1,1.51,0.39,0.03,-0.18,-0.26,-0.06,-0.11,-0.87,208.891259868606,17996.938999333343,3.646956327060458
1939,-0.02,0.09,-0.12,0.23,-0.12,-0.12,0.57,0.28,0.08,-0.11,-0.12,-0.04,-0.19,-1.61,212.945483133688,18499.29789333334,3.6814130267664
1940,0.13,0.18,0.1,0.11,0.29,-0.07,1.01,-0.02,-0.09,0.27,0.3,0.03,-0.2,-0.06,217.578585834764,19729.89108133334,3.720975994661206
1941,0.19,0.23,0.17,0.01,0.5,-0.05,0.01,-0.1,0.08,0.54,0.45,0.03,-0.15,-0.48,221.284997496842,20254.60518266663,3.855433499445439
1942,0.07,0.13,0.01,0.13,0.08,-0.01,0.74,-0.07,0.06,0.11,0.04,0.06,-0.05,-0.91,223.918469859894,20292.782016,4.148917127450757
1943,0.09,0.18,-0.01,0.37,-0.08,0.04,1.42,0.28,0.11,-0.11,-0.05,0.07,0.0,1.13,228.38891007347002,20486.03955533337,4.5635980026298455
1944,0.2,0.27,0.14,0.38,0.19,0.05,1.19,0.47,0.1,0.11,0.27,0.18,-0.1,-0.95,231.809005349322,20633.32530466663,5.061653396940384
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.64,-0.03,0.04,0.1,0.24,0.03,0.0,-1.79,229.954897721412,18850.22944,5.605262002163196
1946,-0.07,0.03,-0.17,0.07,-0.04,-0.24,-0.02,-0.05,0.17,-0.02,-0.06,-0.22,-0.24,-0.19,236.914501650938,19594.880321333338,6.156597558627058
1947,-0.03,0.08,-0.13,0.16,-0.06,-0.17,1.07,-0.13,0.05,-0.03,-0.08,-0.2,-0.08,-0.23,244.94210612192802,20490.086775999996,6.677836212616857
1948,-0.1,-0.01,-0.19,0.13,-0.18,-0.24,0.12,0.31,0.01,-0.23,-0.13,-0.2,-0.19,-1.39,248.964406928004,20938.892258,7.131154391115942
1949,-0.11,-0.02,-0.19,0.12,-0.19,-0.23,0.21,0.17,0.05,-0.23,-0.14,-0.18,-0.15,-1.99,252.44930702121,20477.14903866663,7.478729962572443
1950,-0.17,-0.15,-0.2,-0.05,-0.29,-0.15,0.2,-0.31,0.04,-0.3,-0.27,-0.06,-0.16,-0.87,258.98982856013,22839.94638466663,7.682736721190893
1951,-0.07,0.05,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,0.0,-0.11,-0.22,-0.16,-0.7,267.707006905096,23940.23243266663,7.8049190715954655
1952,0.01,0.06,-0.03,0.11,0.02,-0.09,0.27,-0.09,0.19,-0.01,0.05,-0.1,-0.02,-0.51,273.92535762572,24360.630170666627,7.933072383769602
1953,0.08,0.25,-0.08,0.36,0.07,-0.19,1.02,0.36,0.14,0.08,0.07,-0.08,-0.24,-1.11,280.983301441422,24939.703758,8.068451889414296
1954,-0.13,-0.01,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0.0,-0.14,-0.28,-0.18,-0.2,-0.82,288.758155322028,25567.94196533337,8.212316971872783
1955,-0.14,-0.09,-0.2,0.05,-0.34,-0.06,-0.24,-0.11,0.23,-0.29,-0.38,-0.16,-0.08,1.22,302.772112489728,27237.211686666633,8.36592289395104
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.0,0.01,-0.47,-0.08,-0.28,-0.37,-0.14,0.02,0.76,312.735147286652,28609.13907333337,8.53052717061834
1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.49,322.56254378463,29515.15107,8.70738734362265
1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53,330.080125467922,30363.99859866663,8.89775864974746
1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.49,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.36,345.03008464076,31941.86235333337,9.10289901494808
1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.33,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.75,354.83462843184,31909.128814,9.38153740371224
1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.15,0.38,0.18,-0.07,0.0,0.14,-0.17,0.21,358.873538091778,31044.83758533337,9.8810939046555
1962,0.03,0.13,-0.06,0.24,-0.05,-0.08,0.44,0.31,0.14,-0.04,-0.05,0.09,-0.07,-0.65,365.168736588238,31277.965129999997,10.21139351208956
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.14,0.1,-0.1,-0.17,-0.03,374.604556461196,31839.414296000003,10.53785590386438
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.66,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.38,382.750550085824,32599.97696333337,10.90735031836046
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01,393.60442141434,32756.340004,11.32641987696754
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.23,-0.14,0.11,408.740406474584,33414.54188533337,11.795272640046232
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3,414.615825776084,34322.23152533337,12.21212547645563
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.08,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0.0,-0.08,422.2204290787,35762.8241,12.593615026515089
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.14,434.085962431236,36854.079148000004,12.859069377518981
1970,0.03,-0.04,0.09,-0.11,0.06,0.11,-0.21,-0.13,-0.06,0.07,0.06,0.11,0.03,0.31,444.045828997886,38978.67954333337,12.97253680912314
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.3,-0.22,0.03,0.16,0.44,445.599833251024,40165.66416,12.88804436238646
1972,0.01,-0.18,0.2,-0.34,0.16,0.14,-0.36,-0.47,-0.25,0.06,0.26,0.16,-0.02,0.45,455.065620243086,41622.294882,13.35202604523124
1973,0.16,0.09,0.23,0.1,0.19,0.18,0.07,0.27,0.01,0.08,0.3,0.22,0.08,0.34,466.521173902606,43049.179690000004,13.751624834077841
1974,-0.07,-0.18,0.03,-0.15,-0.2,0.18,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.65,469.206011077546,42658.264236,13.8916282490076
1975,-0.01,-0.06,0.02,0.12,-0.24,0.16,0.09,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.29,476.494674326584,42828.62297,14.284531131771779
1976,-0.1,-0.21,0.01,-0.26,-0.12,0.09,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24,483.589474451726,44571.561478666634,14.64087085838366
1977,0.18,0.12,0.24,0.13,0.16,0.25,0.16,0.24,0.06,0.09,0.22,0.22,0.31,0.28,490.357723213836,45799.01445466663,14.98946545133234
1978,0.07,0.02,0.11,-0.04,0.07,0.16,-0.16,0.04,-0.04,0.1,0.05,0.21,0.13,0.04,493.244985389706,46581.60438133337,15.24288784348734
1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.6,0.07,0.08,0.25,0.27,0.3,0.33,-0.2,505.9324413906,47332.69061333337,15.76936375244316
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.32,0.29,0.35,0.37,0.59,504.444350735096,47151.13566133337,15.88339781040374
1981,0.32,0.37,0.27,0.47,0.18,0.36,1.09,0.78,0.08,0.22,0.14,0.28,0.39,0.61,493.381732755652,46834.054692000005,15.53529050688414
1982,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.09,0.25,0.29,0.19,0.32,-0.11,499.71741254285,46564.79685466662,15.6955730814216
1983,0.31,0.25,0.38,0.22,0.43,0.25,0.19,0.69,-0.07,0.29,0.58,0.21,0.41,0.05,500.893318493884,47602.258226,15.81510213739448
1984,0.16,0.04,0.28,0.01,0.18,0.26,0.36,0.08,-0.14,0.07,0.3,0.16,0.32,0.51,507.980721272006,49917.786118,15.997376114310661
1985,0.12,0.0,0.24,-0.03,0.09,0.3,0.39,-0.27,-0.02,0.04,0.14,0.3,0.44,0.04,516.173457303284,50780.402028,16.0885291589098
1986,0.18,0.13,0.23,0.1,0.22,0.2,0.01,0.28,0.03,0.17,0.27,0.25,0.25,-0.11,522.822748879916,51458.114266000004,16.093819729047823
1987,0.32,0.24,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.0,528.572331950576,52740.470124,16.36586331057102
1988,0.39,0.37,0.41,0.4,0.37,0.39,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.88,537.712880894674,54299.72649266663,16.31918554103526
1989,0.27,0.27,0.27,0.4,0.13,0.34,0.33,0.69,0.25,0.07,0.19,0.36,0.3,0.36,550.181060908724,54527.027284666634,16.52963272336508
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.48,0.38,0.36,0.38,0.37,0.35,557.347853088842,55237.96915133337,16.6073472694206
1991,0.4,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.95,555.176084854272,55976.84628466663,16.544728235203
1992,0.22,0.13,0.31,0.09,0.28,0.27,-0.16,0.44,-0.04,0.19,0.36,0.2,0.33,0.4,555.134862128548,54912.48223866663,16.5578800588344
1993,0.23,0.19,0.28,0.13,0.32,0.22,0.55,0.29,-0.11,0.28,0.35,0.27,0.39,-0.31,556.390777834894,55343.43958333337,16.465721753547797
1994,0.31,0.37,0.26,0.43,0.31,0.21,0.35,0.5,0.41,0.28,0.34,0.27,0.23,-0.05,561.491041963522,56498.652974000004,16.7126688329296
1995,0.45,0.58,0.32,0.7,0.42,0.22,1.32,0.98,0.31,0.4,0.44,0.29,0.15,0.14,569.8104017593,57456.65121933338,17.2087629579526
1996,0.33,0.26,0.39,0.23,0.32,0.43,0.77,0.17,0.1,0.31,0.32,0.33,0.28,1.19,575.532608473592,58852.655928,17.481387325684
1997,0.46,0.52,0.41,0.53,0.51,0.33,0.77,0.9,0.22,0.5,0.52,0.42,0.36,-0.04,575.506520686232,62778.40138266663,17.355046579261
1998,0.61,0.71,0.51,0.78,0.69,0.32,0.87,0.94,0.65,0.6,0.79,0.39,0.31,0.11,571.980592545464,59367.46231866663,17.3221370143952
1999,0.38,0.48,0.28,0.7,0.2,0.3,0.41,0.8,0.73,0.16,0.25,0.46,0.19,-0.01,575.291685167934,60401.40520466663,17.4196975010342
2000,0.39,0.5,0.28,0.7,0.24,0.29,0.98,0.8,0.55,0.21,0.28,0.42,0.1,0.26,586.006099006342,61098.41791533337,17.534291570495
2001,0.54,0.64,0.43,0.8,0.42,0.42,1.08,0.86,0.68,0.4,0.44,0.58,0.24,0.25,586.79567721575,60777.26124466663,17.6000431717098
2002,0.63,0.72,0.54,0.83,0.59,0.47,1.26,1.0,0.58,0.55,0.63,0.5,0.32,0.75,586.511200595204,62877.34908333337,17.8312614457408
2003,0.62,0.75,0.49,0.84,0.64,0.37,1.51,0.98,0.54,0.61,0.66,0.44,0.24,0.37,602.095013412158,66562.39785933337,17.891890977969
2004,0.53,0.66,0.41,0.72,0.55,0.32,0.47,0.95,0.66,0.56,0.53,0.48,0.23,-0.05,614.982879424936,67951.08261066664,18.4848367601366
2005,0.67,0.86,0.49,1.01,0.62,0.41,1.99,1.22,0.57,0.62,0.61,0.49,0.19,0.65,625.936284851144,68622.10074066663,18.6270624640048
2006,0.63,0.82,0.45,0.98,0.55,0.39,1.74,1.06,0.69,0.57,0.54,0.51,0.19,0.41,637.173222891934,71288.23743266663,18.8631935200452
2007,0.66,0.85,0.47,1.13,0.46,0.47,2.12,1.32,0.69,0.45,0.47,0.49,0.07,1.21,642.449777396102,71839.18148266664,19.404502549905203
2008,0.54,0.68,0.4,0.92,0.37,0.39,1.54,1.08,0.61,0.34,0.41,0.52,0.09,0.58,649.892270646564,73408.71646266663,19.1872629208778
2009,0.65,0.72,0.59,0.78,0.67,0.51,1.42,0.6,0.68,0.65,0.7,0.6,0.15,0.95,646.617719137118,73145.61221600001,18.9824474950964
2010,0.72,0.9,0.54,1.02,0.68,0.47,2.22,0.86,0.74,0.72,0.64,0.63,0.2,0.5,658.02965173122,76356.48330266663,19.3482404882038
2011,0.61,0.74,0.47,0.99,0.36,0.56,2.36,0.93,0.58,0.39,0.34,0.64,0.18,1.09,674.15266597928,78851.24495066665,20.0837696298074
2012,0.65,0.81,0.48,1.04,0.52,0.42,2.22,0.93,0.74,0.48,0.56,0.56,0.19,0.41,682.51823611648,79617.764116,20.3061041846048
2013,0.67,0.8,0.55,0.95,0.57,0.53,1.55,1.04,0.69,0.58,0.57,0.62,0.23,0.86,681.49637540836,79843.56833733336,20.2220180411658
2014,0.74,0.92,0.57,1.07,0.66,0.52,2.04,1.14,0.73,0.69,0.64,0.72,0.18,0.56,687.84182618896,80944.11675666663,20.4390468719252
2015,0.9,1.18,0.62,1.32,0.95,0.41,2.01,1.48,0.99,0.97,0.93,0.75,0.18,-0.31,691.19821823448,81839.16359666662,20.507905544572402
2016,1.01,1.3,0.72,1.54,1.0,0.49,3.25,1.43,1.07,0.95,1.05,0.67,0.26,0.4,693.58853328612,80051.32090666663,20.6766006780884
2017,0.92,1.17,0.66,1.39,0.81,0.6,2.52,1.38,1.03,0.86,0.75,0.76,0.35,0.55,704.21392895522,80802.02644933337,21.0642199861636
2018,0.84,1.03,0.65,1.24,0.67,0.69,2.14,1.09,1.05,0.72,0.61,0.79,0.38,0.97,710.0067500078,81961.90310466664,21.026960185659398
2019,0.98,1.21,0.74,1.41,0.89,0.65,2.7,1.43,0.99,0.9,0.88,0.74,0.4,0.86,717.09385382084,83229.05214933337,21.1395628135286
2020,1.02,1.35,0.68,1.67,0.86,0.57,2.92,1.82,1.19,0.88,0.83,0.58,0.39,0.92,720.763560003934,78589.96825533337,21.3720097439814
2021,0.85,1.14,0.55,1.42,0.65,0.53,2.05,1.36,1.26,0.72,0.58,0.72,0.32,0.31,729.859319016758,82236.27856199999,21.744623219940003
